Series Name,Series Code,Country Name,Country Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,582766,593374,604167,615239,626688,638609,650991,663653,676283,686607
"Population, total",SP.POP.TOTL,North Macedonia,MKD,2061044,2064032,2067471,2070226,2072490,2074502,2076217,2076694,2072531,2065092
"Population, total",SP.POP.TOTL,Madagascar,MDG,22966240,23588073,24215976,24850912,25501941,26169542,26846541,27533134,28225177,28915653
"Population, total",SP.POP.TOTL,Malawi,MWI,15581251,16024775,16477966,16938942,17405624,17881167,18367883,18867337,19377061,19889742
"Population, total",SP.POP.TOTL,Malaysia,MYS,29660212,30134807,30606459,31068833,31526418,31975806,32399271,32804020,33199993,33573874
"Population, total",SP.POP.TOTL,Maldives,MDV,387539,400728,416738,435582,454252,472442,489758,504508,514438,521457
"Population, total",SP.POP.TOTL,Mali,MLI,16514687,17004033,17551814,18112907,18700106,19311355,19934298,20567424,21224040,21904983
"Population, total",SP.POP.TOTL,Malta,MLT,420028,425967,434558,445053,455356,467999,484630,504062,515332,518536
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,52203,51352,50419,49410,48329,47187,45989,44728,43413,42050
"Population, total",SP.POP.TOTL,Mauritania,MRT,3636113,3742959,3843174,3946220,4051890,4160015,4270712,4383849,4498604,4614974
"Population, total",SP.POP.TOTL,Mauritius,MUS,1255882,1258653,1260934,1262605,1263473,1264613,1265303,1265711,1265740,1266060
"Population, total",SP.POP.TOTL,Mexico,MEX,115755909,117290686,118755887,120149897,121519221,122839258,124013861,125085311,125998302,126705138
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,108232,108609,109024,109462,109925,110430,110929,111379,112106,113131
"Population, total",SP.POP.TOTL,Moldova,MDA,2860324,2859558,2857815,2835978,2803186,2755189,2707203,2664224,2635130,2615199
"Population, total",SP.POP.TOTL,Monaco,MCO,34700,35425,36110,36760,37071,37044,37029,37034,36922,36686
"Population, total",SP.POP.TOTL,Mongolia,MNG,2792349,2845153,2902823,2964749,3029555,3096030,3163991,3232430,3294335,3347782
"Population, total",SP.POP.TOTL,Montenegro,MNE,620601,621207,621810,622159,622303,622373,622227,622028,621306,619211
"Population, total",SP.POP.TOTL,Morocco,MAR,33352169,33803527,34248603,34680458,35107264,35528115,35927511,36304408,36688772,37076584
"Population, total",SP.POP.TOTL,Mozambique,MOZ,24487611,25251731,26038704,26843246,27696493,28569441,29423878,30285595,31178239,32077072
"Population, total",SP.POP.TOTL,Myanmar,MMR,50218185,50648334,51072436,51483949,51892349,52288341,52666014,53040212,53423198,53798084
"Population, total",SP.POP.TOTL,Namibia,NAM,2167470,2204510,2243001,2282704,2323352,2364534,2405680,2446644,2489098,2530151
"Population, total",SP.POP.TOTL,Nauru,NRU,10444,10694,10940,11185,11437,11682,11924,12132,12315,12511
"Population, total",SP.POP.TOTL,Nepal,NPL,27330694,27381555,27462106,27610325,27861186,28183426,28506712,28832496,29348627,30034989
"Population, total",SP.POP.TOTL,Netherlands,NLD,16754962,16804432,16865008,16939923,17030314,17131296,17231624,17344874,17441500,17533044
"Population, total",SP.POP.TOTL,New Caledonia,NCL,259000,263650,268050,269460,270220,270810,271170,271230,271130,271030
"Population, total",SP.POP.TOTL,New Zealand,NZL,4408100,4442100,4516500,4609400,4714100,4813600,4900600,4979200,5090200,5122600
"Population, total",SP.POP.TOTL,Nicaragua,NIC,6030607,6119379,6208676,6298598,6389235,6480532,6572233,6663924,6755895,6850540
"Population, total",SP.POP.TOTL,Niger,NER,17954407,18653199,19372014,20128124,20921743,21737922,22577058,23443393,24333639,25252722
"Population, total",SP.POP.TOTL,Nigeria,NGA,170075932,174726123,179379016,183995785,188666931,193495907,198387623,203304492,208327405,213401323
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,52359,52141,51856,51514,51133,50729,50304,49858,49587,49481
"Population, total",SP.POP.TOTL,Norway,NOR,5018573,5079623,5137232,5188607,5234519,5276968,5311916,5347896,5379475,5408320
"Population, total",SP.POP.TOTL,Oman,OMN,3535579,3816680,4009267,4191776,4398070,4541854,4601157,4602768,4543399,4520471
"Population, total",SP.POP.TOTL,Pakistan,PAK,202205861,205337562,208251628,210969298,213524840,216379655,219731479,223293280,227196741,231402117
"Population, total",SP.POP.TOTL,Palau,PLW,17946,17805,17796,17794,17816,17837,17864,17916,17972,18024
"Population, total",SP.POP.TOTL,Panama,PAN,3754862,3821556,3888793,3957099,4026336,4096063,4165255,4232532,4294396,4351267
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,8026545,8245627,8464153,8682174,8899169,9114796,9329227,9542486,9749640,9949437
"Population, total",SP.POP.TOTL,Paraguay,PRY,5923322,6005652,6090721,6177950,6266615,6355404,6443328,6530026,6618695,6703799
"Population, total",SP.POP.TOTL,Peru,PER,29749589,30038809,30353951,30711863,31132779,31605486,32203944,32824861,33304756,33715471
"Population, total",SP.POP.TOTL,Philippines,PHL,98032317,99700107,101325201,103031365,104875266,106738501,108568836,110380804,112190977,113880328
"Population, total",SP.POP.TOTL,Poland,POL,38063164,38040196,38011735,37986412,37970087,37974826,37974750,37965475,37899070,37747124
